1000 2509
908 951 7
908 958 10
909 911 4
910 942 12
910 956 14
911 924 11
911 949 6
911 960 14
912 936 10
912 951 2
912 962 12
913 919 13
913 925 12
913 940 15
913 958 15
913 963 13
914 936 6
915 930 10
915 937 7
915 939 5
915 946 13
916 919 10
916 922 11
917 933 2
918 964 3
919 928 11
919 968 5
920 931 8
920 942 14
921 928 14
921 932 9
921 963 6
922 935 3
922 941 6
922 943 5
922 962 3
922 970 8
923 962 2
923 968 10
924 930 4
924 948 7
924 955 8
924 963 8
924 964 4
924 968 2
926 949 8
926 961 15
926 969 14
927 929 7
927 976 4
928 941 13
928 949 13
928 954 11
928 955 12
928 957 5
928 965 9
929 931 6
929 967 14
930 949 9
930 951 9
930 965 6
930 977 7
931 939 11
931 959 4
932 944 14
933 944 12
933 969 5
934 939 14
934 960 6
936 937 13
936 950 6
938 940 5
938 943 4
938 956 9
938 970 12
939 950 10
939 977 5
940 948 8
940 974 8
941 956 3
941 966 8
941 981 9
941 984 9
942 951 12
942 961 8
942 972 5
942 985 3
942 988 13
943 946 7
944 955 5
944 985 13
944 994 15
945 962 15
945 987 2
946 976 9
946 980 13
947 948 14
947 950 3
947 957 2
947 979 15
948 952 9
948 955 8
948 978 6
948 988 3
948 989 5
949 978 5
949 999 14
950 965 14
950 978 8
952 980 4
952 988 10
954 969 2
954 980 5
955 956 2
955 970 10
955 986 8
956 975 2
956 981 14
956 994 14
957 965 12
958 971 2
958 973 9
958 977 9
958 982 6
958 983 4
958 991 9
959 964 8
959 973 3
960 964 10
960 982 13
960 986 14
960 996 8
961 968 10
961 985 14
961 992 14
962 974 9
962 996 14
963 971 8
963 981 4
963 990 2
964 971 7
964 994 3
965 984 2
965 995 12
966 979 9
967 972 8
967 974 3
967 996 5
968 969 14
968 977 3
968 989 15
968 990 13
969 993 14
971 975 9
971 986 11
971 987 5
972 973 2
972 979 5
972 983 13
973 983 2
974 976 13
974 997 2
978 979 6
979 988 14
979 998 10
980 989 13
981 982 7
981 984 13
982 992 13
982 1000 3
984 986 6
984 991 13
984 999 2
985 995 11
985 997 5
987 994 3
989 995 6
993 1000 8
